Dataset,Target Name,RA (J2000),Dec (J2000),Ref,Start Time,Stop Time,Exp Time,Instrument,Apertures,Filters/Gratings,Central Wavelength,Proposal ID,Release Date,Preview Name,Scan Type,High-Level Science Products,Ang Sep (')
LDA927010,BI237,84.0609971,-67.6553194,1,2016-12-20 23:56:32,2016-12-21 01:26:32,600.064,COS   ,PSA,G160M,1589.000,14675,2016-12-21 03:41:53,LDA927010,,,142.038
LDA927020,BI237,84.0609971,-67.6553194,1,2016-12-21 01:30:44,2016-12-21 02:28:08,540.096,COS   ,PSA,G130M,1291.000,14675,2016-12-21 08:08:20,LDA927020,,,142.038
LDA930010,BI253,84.3935917,-69.0195083,1,2016-09-12 21:13:39,2016-09-12 21:30:21,600.064,COS   ,PSA,G160M,1589.000,14675,2016-09-13 00:53:15,LDA930010,,,113.729
LDA930020,BI253,84.3935917,-69.0195083,1,2016-09-12 22:46:10,2016-09-12 23:02:39,540.096,COS   ,PSA,G130M,1291.000,14675,2016-09-13 00:56:35,LDA930020,,,113.729
LBP503080,SK-68155,85.7288625,-68.9484722,2,2012-01-25 02:56:23,2012-01-25 04:18:30,2402.144,COS   ,PSA,G160M,1577.000,12581,2013-01-25 05:28:21,LBP503080,,,142.772
LBP503090,SK-68155,85.7288625,-68.9484722,2,2012-01-25 04:21:37,2012-01-25 05:46:29,2446.816,COS   ,PSA,G160M,1589.000,12581,2013-01-25 10:27:06,LBP503090,,,142.772
LBP5030A0,SK-68155,85.7288625,-68.9484722,2,2012-01-25 05:49:39,2012-01-25 07:04:39,2797.472,COS   ,PSA,G160M,1600.000,12581,2013-01-25 12:19:26,LBP5030A0,,,142.772
LBP5030B0,SK-68155,85.7288625,-68.9484722,2,2012-01-25 07:08:33,2012-01-25 07:14:03,330.016,COS   ,PSA,G130M,1327.000,12581,2013-01-25 12:14:24,LBP5030B0,,,142.772
LBP503SPQ,SK-68155,85.7288625,-68.9484722,2,2012-01-25 02:46:36,2012-01-25 02:49:42,186.000,COS   ,PSA,G130M,1327.000,12581,2013-01-25 04:43:52,,,,142.772
LDA920010,BI184,82.6277708,-71.0421000,1,2016-12-24 21:35:07,2016-12-24 23:17:36,1800.064,COS   ,PSA,G160M,1589.000,14675,2016-12-25 04:24:26,LDA920010,,,133.820
LDA920020,BI184,82.6277708,-71.0421000,1,2016-12-24 23:57:32,2016-12-25 01:54:08,2220.096,COS   ,PSA,G130M,1291.000,14675,2016-12-25 11:29:17,LDA920020,,,133.820
LDA920HKQ,BI184,82.6277708,-71.0421000,1,2016-12-24 21:25:21,2016-12-24 21:29:06,225.000,COS   ,PSA,G160M,1589.000,14675,2016-12-25 04:12:35,,,,133.820
LDA920HLQ,BI184,82.6277708,-71.0421000,1,2016-12-24 21:31:47,2016-12-24 21:31:50,2.500,COS   ,PSA,G160M,1589.000,14675,2016-12-25 04:12:46,,,,133.820
LBP502070,SK-69279,85.4361375,-69.5875028,2,2012-10-25 05:42:30,2012-10-25 07:16:32,3583.776,COS   ,PSA,G160M,1577.000,12581,2013-10-25 10:19:33,LBP502070,,,136.342
LBP502080,SK-69279,85.4361375,-69.5875028,2,2012-10-25 08:02:46,2012-10-25 09:53:42,3769.760,COS   ,PSA,G160M,1589.000,12581,2013-10-25 13:47:28,LBP502080,,,136.342
LBP502090,SK-69279,85.4361375,-69.5875028,2,2012-10-25 09:57:52,2012-10-25 11:27:08,3260.768,COS   ,PSA,G160M,1600.000,12581,2013-10-25 23:26:20,LBP502090,,,136.342
LBP5020A0,SK-69279,85.4361375,-69.5875028,2,2012-10-25 11:32:07,2012-10-25 11:37:25,318.048,COS   ,PSA,G130M,1327.000,12581,2013-10-26 00:08:52,LBP5020A0,,,136.342
LBP505080,SK-68140,84.7382625,-68.9480750,2,2011-12-01 23:31:33,2011-12-02 00:53:32,3329.696,COS   ,PSA,G160M,1577.000,12581,2012-12-02 03:07:33,LBP505080,,,121.657
LBP505090,SK-68140,84.7382625,-68.9480750,2,2011-12-02 01:06:01,2011-12-02 02:30:53,3328.128,COS   ,PSA,G160M,1589.000,12581,2012-12-02 03:51:36,LBP505090,,,121.657
LBP5050A0,SK-68140,84.7382625,-68.9480750,2,2011-12-02 02:41:22,2011-12-02 03:43:09,3281.888,COS   ,PSA,G160M,1600.000,12581,2012-12-02 04:52:28,LBP5050A0,,,121.657
LBP5050B0,SK-68140,84.7382625,-68.9480750,2,2011-12-02 03:47:03,2011-12-02 03:52:33,330.016,COS   ,PSA,G130M,1327.000,12581,2012-12-02 06:31:17,LBP5050B0,,,121.657
LDA935010,SK-6826,75.3843250,-68.1786278,1,2016-09-13 00:28:22,2016-09-13 01:28:38,600.128,COS   ,PSA,G160M,1589.000,14675,2016-09-13 02:31:20,LDA935010,,,100.202
LDA935020,SK-6826,75.3843250,-68.1786278,1,2016-09-13 02:01:06,2016-09-13 02:15:08,440.064,COS   ,PSA,G130M,1291.000,14675,2016-09-13 10:22:04,LDA935020,,,100.202
LDA935FVQ,SK-6826,75.3843250,-68.1786278,1,2016-09-13 00:18:32,2016-09-13 00:22:15,223.000,COS   ,PSA,G160M,1589.000,14675,2016-09-13 02:19:51,,,,100.202
LDA935FWQ,SK-6826,75.3843250,-68.1786278,1,2016-09-13 00:25:09,2016-09-13 00:25:10,1.000,COS   ,PSA,G160M,1589.000,14675,2016-09-13 02:19:50,,,,100.202
LBP506040,HD269445,80.7490958,-68.0296250,2,2012-06-21 19:35:11,2012-06-21 20:01:50,1140.064,COS   ,PSA,G160M,1577.000,12581,2013-06-22 05:18:06,LBP506040,,,77.005
LBP506050,HD269445,80.7490958,-68.0296250,2,2012-06-21 20:05:32,2012-06-21 21:16:47,1254.048,COS   ,PSA,G160M,1589.000,12581,2013-06-22 05:47:34,LBP506050,,,77.005
LBP506060,HD269445,80.7490958,-68.0296250,2,2012-06-21 21:20:19,2012-06-21 21:51:53,1465.120,COS   ,PSA,G160M,1600.000,12581,2013-06-22 06:51:13,LBP506060,,,77.005
LDA925010,SK-6873,80.7490958,-68.0296250,1,2017-02-18 20:05:53,2017-02-18 21:54:20,1850.112,COS   ,PSA,G130M,1291.000,14675,2017-02-19 16:49:11,LDA925010,,,77.005
LE2710010,LMCE055-1,74.2030000,-69.6111944,0,2020-06-22 14:20:19,2020-06-22 15:04:16,2208.064,COS   ,PSA,G160M,1577.000,15824,2020-12-22 19:45:39,,,,106.770
LE2710E1Q,LMCE055-1,74.2030000,-69.6111944,0,2020-06-22 14:14:20,2020-06-22 14:14:22,2.000,COS   ,PSA,G160M,1577.000,15824,2020-12-22 19:37:23,,,,106.770
LE2710E2Q,LMCE055-1,74.2030000,-69.6111944,0,2020-06-22 14:17:04,2020-06-22 14:17:06,2.000,COS   ,PSA,G160M,1577.000,15824,2020-12-22 19:37:25,,,,106.770
