offset_targ, associated_ull_targ, pid
GAIA-DR2-3217634157788424960, CVSO-104, 16115
GAIA-DR2-3219230996564040704, CVSO-176, 16115
GAIA-DR2-3222180878885500288, CVSO-17, 16115
GAIA-DR2-3222268156917169536, CVSO-36, 16115
HD-104237-OFFSET, HD-104237E, 16599
N11-ELS-048-OFFSET, N11-ELS-048, 16815
RXJ1608.9-3905, SZ114, 16857
SSTC2DJ160000.6-422158-OFFSET, SSTC2D-J160000M422158, 16479
SSTC2DJ161344.1-373646-OFFSET, SSTC2DJ161344M373646, 16479
SZ66-OFFSET, SZ66, 16477
SZ69-OFFSET, SZ69, 16477
SZ76-OFFSET, SZ76, 16477
SZ97-OFFSET, SZ97, 16855
SZ117-OFFSET, SZ117, 16855
UCAC3-27-26848, HN5, 16478
UCAC4-262-089914-OFFSET, SZ84, 16853
V-V856-SCO-OFFSET, SZ103, 16856
